DateValid;DISCIPLINE;ASSO_NOM;DECLARATION EN PREFECTURE;AGREMENT JEUNESSE & SPORTS;AFFILIATION FEDERALE;COMPLEMENT;EXTENSION;PERS_INTERNET;QUARTIERS;COMPLEXE;UNITE FONCTIONNELLE;NUMERO;RUE_LIBELLE;UF_CP;UF_Commune;0-3ans;3-6ans;6-12ans;12-15ans;juniors16-20ans;adultes;séniors;handicapés;corpo;geolocalisation
18/01/2011 17:19:26;CAPOEIRA;ASSOCIATION CAPOEIRAGEM;W313002552;3106JEP0088;;;Appt 52 Bât E;www.capoeiragem.fr;Sauzelong - Rangueil;Nouveau Complexe Municipal;Maison de quartier Rangueil;19;Rue Claude de Forbin;31400.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;
03/10/2007 16:26:03;VIET VO DAO;Thieu Lam Hông Quyên;;;;;;www.hongquyen.com;Patte d'Oie;COMPLEXE PRIVÉ;Académie des Arts Martiaux de Toulouse;38;Avenue de Lombez;31300.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.558481, 1.279141
15/01/2009 10:29:32;VOL RADIO COMMANDE;MODEL AIR CLUB LANGUEDOCIEN;318336.0;31AS441;878.0;;;;Rangueil - CHR - Facultés;Nouveau Complexe Municipal;Base de sports et de loisirs Pech David;61;Chemin des côtes de Pech David;;TOULOUSE;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.589766, 1.415235
06/01/2009 11:08:05;AEROMODELISME;Aéro-club CE Airbus France René Barbaro;4656.0;31AS212;9029.0;;Aérodrome de Toulouse Lasbordes;www.acat-toulouse.org;;COMPLEXE PRIVÉ;Aérodrome de Lasbordes;;;31130.0;Balma;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.609568, 1.497847
23/02/2011 16:18:36;AIKIDO;ASEAT;;;;;;www.aseat.fr;Juncasse - Argoulets;Complexe ASEAT;Installations CEAT;;Rue d' Oran;31500.0;TOULOUSE;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;43.615771, 1.470962
21/01/2011 10:02:34;AIKIDO;BALMA SAINT EXUPERY 31;;;;;;www.bse31.com;Pont des Demoiselles;COMPLEXE PRIVÉ;Balma Saint-Exupéry 31;52;Avenue Antoine de Saint Exupéry;31400.0;Toulouse;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.583177, 1.471575
04/12/2006 16:04:40;AIKIDO;Espace Aïkido;;;15311982.0;;;espaceaikido.free.fr;Juncasse - Argoulets;LES ARGOULETS;MAISON DU JUDO ARGOULETS;54;Rue Dinetard;31500.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.678769, 1.450277
19/01/2011 16:01:14;AIKIDO;LE DOJO;W313011526;3197ET0144;1431702.0;;;www.ledojo.com;Guilheméry;COMPLEXE PRIVÉ;Le Dojo;15;Boulevard de la Gare;31500.0;Toulouse;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.605606, 1.457079
10/03/2011 16:55:47;AVIRON;ASSOCIATION TOULOUSE PIERRE PAUL RIQUET;;;31019.0;;;atppr.free.fr;Ramier;COMPLEXE PRIVÉ;Emulation Nautique de Toulouse;;Allée Alfred Mayssonnie;31400.0;Toulouse;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.774297, 1.686036
23/02/2011 15:11:28;BADMINTON;ASEAT;;;;;;www.aseat.fr;Juncasse - Argoulets;Complexe ASEAT;Installations CEAT;;Rue d' Oran;31500.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.615771, 1.470962
