Region;Dep;Commune;Porteur_projet;Projet;n°SES;Montant_op;Montant_acc;Objectifs
Alsace;68;Mulhouse;Mulhouse Alsace Agglomération;Rénovation de la patinoire de Mulhouse;13346;2 466 555 €;450 000 €;Territoires carencés
Aquitaine;24;Bergerac;Commune de Bergerac;Construction d'un stade d'athlétisme;13534;3 095 000 €;400 000 €;Territoires carencés
Aquitaine;33;Lormont;Commune de Lormont;Construction d'une salle spécialisée de gymnastique à Ladoumègue;13429;1 874 857 €;250 000 €;Territoires carencés
Aquitaine;47;Marmande;Commune de Marmande;Rénovation de la piste d'athlétisme du stade Georges Dartiailh ;13681;728 060 €;100 000 €;Territoires carencés
Aquitaine;64;Saint-Jean-Pied-de-Port;Communauté de Communes de Garazi;Construction d'une piscine;13684;5 000 000 €;700 000 €;Territoires carencés
Auvergne;3;Yzeure;Moulins Communauté;Réalisation d'un complexe multisports communautaire - 2ème tranche (salle de badminton et de tennis de table);13811;1 518 000 €;280 000 €;Territoires carencés
Auvergne;63;Ambert;Communauté de Communes du Pays d'Ambert;Rénovation de la piscine des 3 Chênes à Ambert;13847;3 500 000 €;400 000 €;Territoires carencés
Basse Normandie;14;Caen;ASPTT CAEN;Achat d'un ULM motorisé;13860;147 000 €;29 000 €;Territoires carencés
Bourgogne;21;Dijon;Communauté d’Agglomération du Grand Dijon;Démolition et reconstruction de la piscine du Carrousel;13865;19 020 239 €;800 000 €;Territoires carencés
Bourgogne;71;Mâcon ;Commune de Mâcon;Construction d’un stade d'athlétisme à la Grisière;13866;5 000 000 €;500 000 €;Territoires carencés
Bretagne;35;Saint-Sulpice-des-Landes;Comité Régional de Vol à Voile de Bretagne;Acquisition d'un ulm ;13564;83 000 €;15 000 €;Territoires carencés
Bretagne;35;Rennes;Commune de Rennes;Création d'un bassin  olympique extérieur;13841;5 004 167 €;850 000 €;Territoires carencés
Centre;41;Vendôme;Communauté de Communes du Pays de Vendôme;Création d'un centre aquatique;13643;12 370 150 €;800 000 €;Territoires carencés
Champagne-Ardenne;51;Fagnières;Communauté d'Agglomération de Châlons-en-Champagne;Création d'un pôle aquatique communautaire;13673;11 208 329 €;700 000 €;Territoires carencés
Champagne-Ardenne;51;Fagnières;Commune de Fagnières;Création d'une piste BMX de compétition;13790;210 905 €;40 000 €;Territoires carencés
Corse;2A;Porto-Vecchio ;Commune de Porto-Vecchio;Restructuration et extension du COSEC;13717;5 798 460 €;1 100 000 €;Territoires carencés
Franche Comté;25;Besançon;Besançon Tennis Club;Restructuration du tennis club;13623;1 080 412 €;120 000 €;Territoires carencés
Guadeloupe;971;Grand-Bourg;Commune de Grand-Bourg;Construction d'un plateau sportif couvert;13868;835 200 €;220 000 €;Territoires carencés
Guadeloupe;971;Le Gosier;Ligue de Tir à l'Arc ;Rénovation des équipements de la Ligue de Tir à l'Arc;13871;277 762 €;78 000 €;Territoires carencés
Guyane;973;Matoury;Commune de Matoury;Couverture du plateau multisports de Cogneau Lamirande;13854;228 800 €;150 000 €;Territoires carencés
