CodeFamille;Famille;CodeType;Type
1;Bassin de natation;101;Bassin mixte de natation
1;Bassin de natation;102;Bassin sportif de natation
1;Bassin de natation;103;Bassin ludique de natation
1;Bassin de natation;104;Fosse à plongeon
1;Bassin de natation;105;Fosse à plongée
1;Bassin de natation;106;Bassin de réception de toboggan
2;Boulodrome;201;Terrain de boules
2;Boulodrome;202;Terrain de pétanque
2;Boulodrome;203;Terrain de boules traditionnelles
3;Bowling;301;Bowling
4;Circuit/piste de sports mécaniques;401;Circuit de vitesse
4;Circuit/piste de sports mécaniques;404;Circuit de motocross
4;Circuit/piste de sports mécaniques;405;Course sur piste
4;Circuit/piste de sports mécaniques;407;Terrain de trial
4;Circuit/piste de sports mécaniques;409;Piste de kart
4;Circuit/piste de sports mécaniques;410;Terrain de moto-ball
5;Court de tennis;501;Court de tennis
6;Equipement de cyclisme;601;Anneau / piste de cyclisme
6;Equipement de cyclisme;603;Espace trial
6;Equipement de cyclisme;604;Piste de bicross
6;Equipement de cyclisme;605;Piste de descente
6;Equipement de cyclisme;606;Relais rando-vélo
6;Equipement de cyclisme;607;Vélodrome
6;Equipement de cyclisme;608;Terrain de cyclocross
7;Equipement & piste de ski;701;Domaine de ski alpin
7;Equipement & piste de ski;703;Tremplin à ski
7;Equipement & piste de ski;704;Piste de ski indoor
7;Equipement & piste de ski;705;Domaine nordique
7;Equipement & piste de ski;706;Piste de luge
8;Equipement d'activités de forme et de santé;801;Salle de cours collectifs
8;Equipement d'activités de forme et de santé;802;Salle de musculation/cardiotraining
8;Equipement d'activités de forme et de santé;803;Bassin d'exercices aquatiques
9;Equipement équestre;901;Carrière
9;Equipement équestre;902;Carrière de dressage/rond de longe
9;Equipement équestre;903;Manège
9;Equipement équestre;904;Parcours d'obstacle
9;Equipement équestre;905;Piste de course sur le plat
9;Equipement équestre;906;Structure de tourisme équestre
9;Equipement équestre;907;Terrain de horse-ball
9;Equipement équestre;908;Terrain de polo
9;Equipement équestre;909;Parcours de cross
10;Equipement d'athlétisme;1001;Stade dathlétisme
10;Equipement d'athlétisme;1002;Aire de lancer
10;Equipement d'athlétisme;1003;Aire de saut
10;Equipement d'athlétisme;1004;Piste d'athlétisme isolée
11;Mur et fronton;1101;Mur ou fronton mixte
11;Mur et fronton;1102;Mur à gauche
11;Mur et fronton;1103;Fronton place libre
11;Mur et fronton;1104;Trinquet
11;Mur et fronton;1105;Mur de tennis
11;Mur et fronton;1106;Jaï-Laï
12;Parcours de golf;1201;Parcours d'initiation
12;Parcours de golf;1202;Parcours 18 trous
12;Parcours de golf;1204;Parcours 9 trous
