ComInsee;ComLib;Nombre d'équipements sportifs;01 - Bassin de natation;02 - Boulodrome;03 - Bowling;04 - Circuit/piste de sports mécaniques;05 - Court de tennis;06 - Equipement de cyclisme;07 - Equipement & piste de ski;08 - Equipement d'activités de forme et de santé;09 - Equipement équestre;10 - Equipement d'athlétisme;11 - Mur et fronton;12 - Parcours de golf;13 - Parcours sportif/santé;14 - Pas de tir;15 - Aire de sports de glaces;16 - Plaine de jeux;17 - Plateau EPS;18 - Salle de combat;19 - Salle multisports;21 - Salle ou terrain spécialisé;22 - Salle non spécialisée;23 - Site d'activités aériennes;24 - Site d'activités aquatiques et nautiques;25 - Site de modélisme;26 - Skate park & vélo Freestyle;27 - Structure Artificielle d'Escalade;28 - Terrain de grands jeux;29 - Terrain extérieur de petits jeux collectifs;30 - Divers équipements Sports de nature;31 - Divers équipements
1001;Abergement-Clémenciat;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
1004;Ambérieu-en-Bugey;50;2;4;0;1;8;0;0;0;2;4;0;0;1;0;0;0;2;2;6;6;4;0;0;0;1;0;6;1;0;0
1005;Ambérieux-en-Dombes;14;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;2;0;0;0
1007;Ambronay;16;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2;0;0;0;3;2;1;0
1008;Ambutrix;6;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
1010;Anglefort;10;0;2;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0
1013;Arandas;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1014;Arbent;26;0;2;0;0;3;0;0;2;0;0;1;0;0;0;0;0;3;1;3;0;0;2;0;0;0;1;8;0;0;0
1015;Arbignieu;4;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1016;Arbigny;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1017;Argis;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1021;Ars-sur-Formans;7;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
1022;Artemare;9;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0
1023;Asnières-sur-Saône;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1024;Attignat;14;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;3;2;0;0
1025;Bâgé-la-Ville;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;1;0;0;0
1026;Bâgé-le-Châtel;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
1027;Balan;23;0;2;0;0;4;0;0;0;3;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;4;5;0;0
1028;Baneins;15;0;5;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0
1029;Beaupont;6;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0
1030;Beauregard;8;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0
1031;Bellignat;29;0;2;0;1;4;0;0;2;0;4;0;1;0;0;0;0;3;0;2;0;1;0;0;0;0;1;6;2;0;0
1032;Béligneux;25;1;1;0;0;2;0;0;1;6;2;0;0;0;1;0;0;2;2;1;1;0;0;0;0;0;1;3;1;0;0
1033;Bellegarde-sur-Valserine;61;4;10;0;1;10;0;0;6;1;1;0;0;0;0;0;0;5;3;4;4;1;1;1;0;1;2;5;0;1;0
1034;Belley;34;2;3;0;0;4;0;0;1;0;1;0;0;0;2;0;0;3;1;5;2;2;0;0;1;0;1;4;2;0;0
1035;Belleydoux;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
1036;Belmont-Luthézieu;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1038;Bény;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
1039;Béon;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
1040;Béréziat;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0
1041;Bettant;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
1042;Bey;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1043;Beynost;28;0;1;0;1;2;1;0;5;0;1;0;0;0;0;0;0;3;1;2;7;0;0;0;0;1;1;2;0;0;0
1044;Billiat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1045;Birieux;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1046;Biziat;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
1047;Blyes;9;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;1;0;0
1049;Boisse;22;0;1;0;0;2;0;0;0;5;1;1;0;0;0;0;0;1;0;1;1;2;0;0;0;1;0;2;4;0;0
1050;Boissey;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1051;Bolozon;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1053;Bourg-en-Bresse;243;9;10;1;0;22;1;0;12;6;20;0;3;2;8;0;0;22;4;30;22;12;0;2;2;1;4;39;7;3;1
1054;Bourg-Saint-Christophe;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0
1056;Boyeux-Saint-Jérôme;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1057;Boz;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1058;Brégnier-Cordon;14;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;2;0;0
1060;Brénod;6;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1061;Brens;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0
1062;Bressolles;7;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0
1063;Brion;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
1064;Briord;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
1065;Buellas;15;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;1;0;0;0;2;0;3;1;0;0
1066;Burbanche;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1067;Ceignes;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
1068;Cerdon;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1069;Certines;8;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0
1071;Cessy;9;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0
1072;Ceyzériat;18;0;1;0;0;3;0;0;0;4;1;0;0;0;0;0;0;1;0;2;1;2;0;0;0;0;1;2;0;0;0
1073;Ceyzérieu;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
1074;Chalamont;13;0;2;0;0;3;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0
1075;Chaleins;7;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
1076;Chaley;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1077;Challes-la-Montagne;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1078;Challex;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0
1079;Champagne-en-Valromey;7;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
