Porteur_projet;Annee;Projet;Montant_acc;Type
Fédération Française Handisport;2015;Jeux Nationaux de l'Avenir Handisport;25000;Projets innovants
Comme les Autres;2015;Séjours aventure sportifs en faveur de personnes handicapées;7500;Projets innovants
Fédération Française Basket-ball;2015;Actions en matière de développement durable. Outil d'optimisation des déplacements sportifs;50000;Projets innovants
Fête le Mur;2015;Actions en matière de sport et insertion;50000;Projets innovants
Fédération Sportive Gaie et Lesbienne (FSGL);2015;Tournoi International de Paris dans le domaine de la lutte contre l'homophobie;10000;Projets innovants
Gay Games 2018;2015;Manifestation 2018;59950;Projets innovants
Premiers de Cordée;2015;Journée évasion organisée au Stade de France - 20/05/2015;5000;Projets innovants
Siel Bleu;2015;Programmes en faveur du sport / santé;5000;Projets innovants
Vaincre la mucoviscidose;2015;Les virades et les greens de l'espoir;10000;Projets innovants
Comité Paralympique et Sportif Français (CPSF);2015;Semaine paralympique (séminaire de cohésion de l'équipe de France paralympique);18000;Projets innovants
Association «Athletes For Transparency»;2015;Création d'un logiciel SAMM (Sampling and Analysis Management Module) - Organisation et logistique des contrôles antidopage;4550;Projets innovants
Odysséa;2015;Course - lutte contre le cancer du sein;5000;Projets innovants
FF Karaté;2015;Championnats d'Europe 2016;115000;Subventions aux Grands Evenements Sportifs Internationaux
FF Escalade;2015;Championnats du monde 2016;215000;Subventions aux Grands Evenements Sportifs Internationaux
FF Badminton;2015;Championnats d'Europe 2016;250000;Subventions aux Grands Evenements Sportifs Internationaux
FF Squash;2015;Championnats du monde féminins par équipes 2016;90000;Subventions aux Grands Evenements Sportifs Internationaux
FF Squash;2015;Championnats du monde masculins par équipes 2017;100000;Subventions aux Grands Evenements Sportifs Internationaux
FF Lutte;2015;Championnats du monde 2017;700000;Subventions aux Grands Evenements Sportifs Internationaux
FF Tir à l'arc et FF Handisport;2015;Championnats d'Europe de Tir à l'Arc 2016;120000;Subventions aux Grands Evenements Sportifs Internationaux
FF Athlétisme;2015;Championnats d'Europe par équipes 2017;350000;Subventions aux Grands Evenements Sportifs Internationaux
FF Triathlon;2015;Championnats d'Europe 2016;22000;Subventions aux Grands Evenements Sportifs Internationaux
FF Sport Adapté;2015;Championnats d'Europe de Football adapté 2016;20000;Subventions aux Grands Evenements Sportifs Internationaux
GIP PARIS 2024;2015;Candidature aux Jeux Olympiques et paralympiques 2024;10000000;Subventions aux Grands Evenements Sportifs Internationaux
FF Aéronautique;2015;Championnats du Monde de Voltige 2015;80000;Subventions aux Grands Evenements Sportifs Internationaux
FF Handisport;2015;Championnats d'Europe de Volley-Ball sourds 2015;50000;Subventions aux Grands Evenements Sportifs Internationaux
FF Canoë-kayak;2015;Championnats du Monde de Canoe-Kayak (slalom et descente) 2017;700000;Subventions aux Grands Evenements Sportifs Internationaux
FF Gymnastique;2015;Championnats d'Europe de Gymnastique artistique 2015;100000;Subventions aux Grands Evenements Sportifs Internationaux
FF Tir à l'Arc ;2015;Championnat de France de Tir à l'Arc ;7000;Fond soutien à la production audiovisuelle
Cercle Paul Bert ;2015;Rennes sur roulettes ;8000;Fond soutien à la production audiovisuelle
 FF Handisport ;2015;Sportifs avant tout ;45000;Fond soutien à la production audiovisuelle
FF Handisport ;2015;Open IPC Athlétisme Handi ;10000;Fond soutien à la production audiovisuelle
CD de pétanque des Alpes Maritimes ;2015;Championnat du monde de Pétanque tête à tête ;15000;Fond soutien à la production audiovisuelle
FF Athlétisme ;2015;Championnat d'Europe de Cross-country ;55000;Fond soutien à la production audiovisuelle
FF Athlétisme - Meeting Eaubonne ;2015;Meeting du Val d'Oise ;5000;Fond soutien à la production audiovisuelle
FF Basket-ball, FF Aviron, FF Ski ;2015;Magazines mensuels ;60000;Fond soutien à la production audiovisuelle
FFT- Ligue Alsace de Tennis ;2015;Internationaux de Strasbourg ;30000;Fond soutien à la production audiovisuelle
FF Aéronautique ;2015;Documentaire Voltige ;35000;Fond soutien à la production audiovisuelle
FF Handball ;2015;Coupe d'Europe de Handball ;40000;Fond soutien à la production audiovisuelle
Association Bowling Promotion ;2015;Women's Bowling Challenge ;5000;Fond soutien à la production audiovisuelle
FF Sport Adapté ;2015;Performant Autrement ;20000;Fond soutien à la production audiovisuelle
FF Volley-Ball ;2015;TQCE - France Slovénie ;16000;Fond soutien à la production audiovisuelle
FF Badminton ;2015;Internationaux de France de Badminton ;39000;Fond soutien à la production audiovisuelle
Basket Club Monbrisonnais féminin ;2015;Chronique d'une victoire annoncée ;10000;Fond soutien à la production audiovisuelle
FF Handisport ;2015;Objectif Rio ;40000;Fond soutien à la production audiovisuelle
FF Sports de Glace ;2015;Championnats de France 2015 de Patinage et de Short track ;15500;Fond soutien à la production audiovisuelle
FF Polo ;2015;Open Féminin de Polo 2015 ;28050;Fond soutien à la production audiovisuelle
FF Sport automobile ;2015;Championnat de France de karting féminin ;5170;Fond soutien à la production audiovisuelle
Ligue Limousin de Tennis ;2015;Open WTA Limoges ;9000;Fond soutien à la production audiovisuelle
Ligue Landes Bearn de Tennis ;2015;Open WTA Biarritz ;9000;Fond soutien à la production audiovisuelle
Cercle Nautique de Crozon ;2015;Coupe du Monde de planche à voile -Xtrem Gliss Festival ;20000;Fond soutien à la production audiovisuelle
FF Voile ;2015;Coupe du Monde Voile + Test Event Rio 2015 ;8660;Fond soutien à la production audiovisuelle
FF Volley-Ball ;2015;Champions League Féminine ;46000;Fond soutien à la production audiovisuelle
